"dossier_folder","dossier_id","nom_societe","forme_juridique","capital_social_eur","rcs","adresse_siege","nom_commercial","activite","type_procedure","date_ouverture","tribunal","administrateur_judiciaire","cabinet_aj","adresse_aj","mandataire_judiciaire","cabinet_mj","juge_commissaire","dldo","effectif_total","nb_offres_recues","filiales","secteur","notes"
"35 - Société d intérêt collectif agricole par actions s","35-SICA","SCICA POMANJOU","Société d'intérêt collectif agricole par actions simplifiée","1404192","059200360","30 boulevard Louis Delage, Saint-Sylvain d'Anjou, 49480 Verrières-en-Anjou","POMANJOU","Activités agricoles, mise en commun de matériels de conditionnement et stockage, ramassage/transport/conditionnement/entreposage/vente de fruits (pommes principalement)","Redressement judiciaire (conversion sauvegarde -> RJ)","2026-03-09","Tribunal des Activités Economiques de Paris","Me Marine PACE et Me Paul-Henri AUDRAS","SELARL 2M & Associés / SELAS AJ UP","SELARL 2M Associés : 22 Rue de l'Arcade 75008 Paris ; SELARL AJ UP : 5 Avenue de Messine 75008 Paris","Me Valérie LELOUP-THOMAS et Me Marie-Charlotte THIRION","SELAFA MJA (41 Rue de l'Echiquier 75010 Paris) / SELARL ATHENA (16 Rue Friant 75014 Paris)","","2026-03-18","8 salariés CDI (+ saisonniers)","5","Détenue à 13,47% par SAS LVL POMANJOU, 74,88% par SCOPE VERGERS CAVL, 0,06% par INNAFRUITS (groupe INNATIS)","Agroalimentaire / Production et conditionnement fruits (pommes)","Filiale du groupe INNATIS (pôle Val de Loire). Sauvegarde ouverte 29/09/2025, convertie en RJ par jugement 09/03/2026 avec cessation des paiements au 06/03/2026. Audience d'examen des offres au 13/04/2026 à 9h15. Offres présentées indivisibles avec LVL POMANJOU, LPC, SCA DE LA CHAUSSEE, SCA DE LAUNAY, SCA REINETTE ANJOU, SCA DE VAULEARD, SCA DENIOLAY PEROUSSAY, SCA DE LA PLESSE, SCA DU DOMAINE DE BEAUVALLON et CAVL. Site OCEANE à Verrières-en-Anjou (terrain 38922 m² + bâtiment 13257 m²) + espace frigo Ecouflant 3600 m² + bureaux 600 m². Bâtiments frigorifiques 9600 m² sur sol d'autrui SNCF (convention échéance 30/06/2026). Conseil cédant : SELARL LEXCAP (Me Tony BERTHO/Marine PACE, 4 rue du Quinconce 49100 Angers, dossier 26A00948 - TB/CVA/NMA). Pôle ligérien INNATIS ~45-50M€ CA et ~100 salariés. Groupe INNATIS fondé 1954, numéro 2 français filière pomme. Variété phare HoneyCrunch, baisse de production due aux conditions météo. Existe également un dossier 35 SARL DME séparé (autre entité)."
"36 - SAS D&N ASSOCIES","36-DN","D&N ASSOCIES","SAS","171234","501170187","60 rue François 1er, 75008 Paris","Air Indemnité","Conseil et accompagnement des passagers aériens dans les procédures de recouvrement amiable et/ou judiciaire et d'indemnisation au titre du règlement CE 261/2004 (retard, annulation, surbooking de vols)","Plan de cession (suite résolution plan de sauvegarde)","2026-01-13","Tribunal des Activités Économiques de Paris","Maître Christophe Thevenot","SELARL Thevenot Partners","42 rue de Lisbonne, 75008 Paris","Maître Charlotte Thirion","SELARL Athena","","2026-02-09","2","3","","Indemnisation passagers aériens / LegalTech","Plan de sauvegarde arrêté le 22/08/2024 résolu par jugement du 13/01/2026 du TAE Paris. Articles L.642-1 et suivants du Code de commerce. DLDO fixée au lundi 09/02/2026 à 12h00. Marché dominé en France par 4 acteurs : AIR HELP, FLIGHT NIGHTS, YOURCE (Vol-Retarde) et AIR INDEMNITE. Marques INPI : ""AIR INDEMNITE"" française N°5112134 (13/01/2025) + internationale W01433888 (23/08/2018, Tunisie/Benelux/Suisse/Algérie/Maroc/Monaco). Noms de domaine : air-indemnité.fr, air-indemnité.com et nombreuses variantes (.be/.org/.info/.fr/.com/.eu/.ch). Cantonnement Société Générale (sommes reversées aux clients mandants + rémunération D&N). Effectif réduit : 1 salarié détaché (Directrice juridique) + 1 Responsable administratif financier et opérations (mentionné dans offres 01 et 03). Activité avec poste informatique pris en charge par dirigeant développeur et prestataire AKATA DEV."
"36 - SAS associé unique LVL POMANJOU","36-LVL","LVL POMANJOU","SAS","300000","407871656","1 Les Grandes Bertinieres, 37370 Saint-Aubin-le-Depeint","LVL POMANJOU","Negoce de fruits et legumes, production agricole (pommes principalement)","Sauvegarde (demande de conversion en RJ en cours)","2025-09-29","Tribunal des activites economiques de Paris","Maitre Marine PACE / Maitre Paul-Henri AUDRAS","SELARL 2M&Associes (Me Marine PACE, 22 rue de l'Arcade 75008 Paris) ; SELAS AJ UP (Me Paul-Henri AUDRAS, 5 avenue de Messine 75008 Paris)","22 rue de l'Arcade 75008 Paris ; 5 avenue de Messine 75008 Paris","Maitre Valerie LELOUP-THOMAS / Maitre Charlotte THIRION","SELAFA MJA (Me LELOUP-THOMAS) ; SELARL ATHENA (Me Charlotte THIRION)","","2026-03-18","32 salaries (15 CDI + 3 CDD site Saint-Aubin-le-Depeint 37 ; 13 CDI site Verrieres-en-Anjou 49)","6","SCI BMF (752296517 RCS Tours, 100%) ; SCEA LES VERGERS LAUNAY (403820152 RCS Tours, 99,91%) ; SCEA LES BOUTINIERES (447633868 RCS Le Mans) ; CUMA IRRIGATION DES PERRETS (311903918 RCS Tours, 26,94%) ; SCA PRECA SERVICES (451299267 RCS Tours, 33,33%) ; CUMA FRUITS SAINT AUBIN (342269651 RCS Tours, 4,69%) ; DSA (527701064 RCS Angers, 41,50% soit 4150 actions sur 10000) ; LPC (12,50%) ; SCICA POMANJOU (13,47%) ; GE AZUR (33,33%)","Filiere fruits - negoce et production de pommes (variete phare HoneyCrunch)","Detenue a 100% par INNATIS SAS. Fusion 2022 entre LES VERGERS LAUNAY et POMANJOU INTERNATIONAL. Difficultes : recul recolte HoneyCrunch (60% des surfaces, recoltes 2023-2024-2025 mauvaises, seul 40% commercialisable en GMS vs 70% requis) + investissement station Verrieres-en-Anjou 30M€ en 2023 mal absorbe + echec restructuration dette 6 mois. Procedure ouverte sur LVL POMANJOU + 10 autres entites du Pole Val de Loire (LPC, SCICA POMANJOU, SCA DE LA CHAUSSEE, SCA DE LAUNAY, SCA REINETTE D'ANJOU, SCA DE VAULEARD, SCA DE LA DENIOLAY PEROUSSAY, SCA DE LA PLESSE, SCA DOMAINE DE BEAUVALLON, CAVL) + holding INNATIS. Pole Val de Loire : 22 societes, 5 societes d'exploitation, CA ~45-50M€, ~100 salaries, 300 hectares de vergers. Groupe INNATIS = N.2 francais de la filiere pomme, fonde 1954. Offres deposees : 3 offres globales (Castel/Leroy/Vcapital 2 versions + Vergers d'Anjou) + 3 offres sur titres DSA hors plan (Advantage Group Malte x2 doublons + Dutoit Afrique du Sud). Notes : SCI BMF detenue par LVL POMANJOU pas par INNATIS SAS. Titres DSA exclus du plan de cession (cession L.642-19)."
"37 - SAS VOLTAIRE","37-VOLTAIRE","VOLTAIRE","SAS","54406","848755088","20 rue Saint-Fiacre, 75002 Paris","VOLTAIRE","Conception et commercialisation de vélos électriques premium","Redressement judiciaire","2026-01-21","Tribunal des Activités Économiques de Paris","Me Marine PACE","2M&Associés","22 rue de l'Arcade, 75008 Paris","Me Valérie LELOUP THOMAS","SELAFA MJA","","","9","3","","Vélos électriques / mobilité douce","Site web voltaire.bike. 4 boutiques exploitées (Marais, Saint-Germain, Sentier, Levallois). Assemblage historiquement au Portugal (INCYCLES), puis délégué au Groupe REBIRTH (RE-CYCLES) par contrat du 20/12/2024. Effectif 9 salariés (Directeur commercial, Ingénieur conception mécanique, 3 Responsables boutique, Responsable commercial, Responsable marketing, Responsable retail, Responsable SAV). Fondateur : Grégoire Lieurade. Stocks à Romilly-sur-Seine : 28663€ vélos + 424223€ composants. Créance RE-CYCLES sur VOLTAIRE : 298155,70€ TTC. Stocks reçus non payés : 240291€. 3 offres distinctes reçues : UTO/Lion Distribution (50000€), RE-CYCLES FRANCE (10000€), Amsterdam Air/Notus (27633€). Offres 04 et 05 sont des doublons stricts de l'offre 03 (Amsterdam Air, mêmes 9 pages, même Docusign Envelope ID 14E85F2C-F893-429F-AD8F-FF32A5A0ED53)."
"37 - Société Coopérative agricole capital variable AR","37-COOP","COOPERATIVE AGRICOLE DES ARBORICULTEURS DU VAL DE LOIRE","Société coopérative agricole à capital variable","","323839506","30 boulevard Louis Delage, Saint-Sylvain d'Anjou, 49480 Verrières-en-Anjou","CAVL","Collecte et vente de pommes et poires ; services aux coopérateurs (analyses, études, documentation technique, mise à disposition de personnel spécialisé)","Sauvegarde convertie en redressement judiciaire","2025-09-29","Tribunal des Activités Économiques de Paris","Me Marine PACE (SELARL 2M&Associés) ; Me Paul-Henri AUDRAS (SELAS AJ UP)","SELARL 2M&Associés + SELAS AJ UP","","Me Valérie LELOUP-THOMAS (SELAFA MJA) ; Me Charlotte THIRION (SELARL ATHENA)","SELAFA MJA + SELARL ATHENA","","2026-03-18","2","2","","Filière fruits (pommes/poires) — Pôle Val de Loire du Groupe INNATIS","CAVL détenue à 98,92% par SCOPE VERGERS CAVL. Filiale du Groupe INNATIS (n°2 français de la pomme, fondé 1954). Procédure de sauvegarde ouverte 29/09/2025, convertie en RJ par jugement 09/03/2026 (cessation paiements 06/03/2026). DLDO 18/03/2026 12h00. Audience examen des offres 13/04/2026 9h15. Offres indivisibles avec 10 autres sociétés du Pôle Val de Loire INNATIS (LVL POMANJOU, LPC, SCICA POMANJOU, SCA DE LA CHAUSSEE, SCA DE LAUNAY, SCA REINETTE ANJOU, SCA DE VAULEARD, SCA DENIOLAY, SCA DE LA PRESSE, SCA DE BEAUVALLON) — 11 Offres de Reprise Innatis au total. CAVL emploie 2 salariés. Chiffres CAVL (exercice clos 31/07) : CA 2025 6.201.408€ / RE 530.178€ / RN 6.295.617€ ; CA 2024 5.727.252€ / RE 538.135€ / RN 5.758.620€ ; CA 2023 3.109.029€ / RE 265.988€ / RN 3.126.683€. Pôle Val de Loire global : CA ~45-50M€, ~100 salariés, 300 hectares vergers (Angevine 210 ha + Touraine 90 ha). Difficultés : recul production HoneyCrunch (60% surfaces, mauvaises récoltes 2023-2024-2025), station ultramoderne Verrières-en-Anjou (invest 30M€ 2023) sous-utilisée, négociations bancaires échouées 2024. Conseil débiteur côté Innatis : Cabinet FIDAL (Antoine BISDORFF & Delphine BRUNET & Sabrina DJELTI, 4-6 avenue d'Alsace 92400 Courbevoie)."
"38 - SAS CHOUETTE","38-CHOUETTE","SAS CHOUETTE","SAS","778699","811691047","82 rue du Faubourg Saint Martin, 75010 Paris","CHOUETTE","Conception, developpement, fabrication, achat, location et vente de produits, services de mesure pour l'acquisition et l'analyse de donnees geo-localisees (imaging terrain viticulture/arboriculture, plateforme View, 40M+ images, base clients +30000 ha)","Redressement Judiciaire","2025-09-30","Tribunal des activites economiques de Paris","Maitre Aurelia Perdereau","SELARL THEVENOT PARTNERS","42 rue de Lisbonne, 75008 Paris","Maitre Frederique Levy","SELAFA MJA","41 rue de l'Echiquier, 75010 Paris","","","10","1","","Agtech / Imaging agricole / Viticulture-Arboriculture"
"38 - SAS à associé unique URIOS","","","","","","","","","","","","","","","","","","","","","","",""
"41 - SAS associé unique LA PETITE PARISIENNE","41","LA PETITE PARISIENNE","SASU","","824928212","4 rue Mayet, 75006 Paris","LA PETITE PARISIENNE SO CHIC","Soins esthétiques et de beauté, onglerie, vente de produits cosmétiques et de beauté, accessoires de mode","Liquidation judiciaire simplifiée","2025-11-03","Tribunal des activités économiques de Paris","","","","Me Lucile JOUVE","SELAFA MJA, 41 rue de l'Echiquier 75010 Paris","Monsieur Joël COSSERAT","","","0","","Beauté / Onglerie","Dirigeante : Mme Karima TEBSI. Date cessation paiements : 6 juin 2024. BODACC n°1674 du 19/11/2025. N° greffe P202504237. N° affaire 2026022946. Locaux 4 rue Mayet 75006 (bail commercial 26/07/2011, bailleresse Mme Viviane DE POLHES). Expulsion réalisée le 9 octobre 2025 (ordonnance de référé 09/11/2022). Le dossier ne contient AUCUNE offre de reprise : il s'agit d'un PDF de 55 pages compilant une requête en relevé de forclusion déposée par Mme DE POLHES (bailleresse, créance 50.984,40 EUR) car déclaration de créance hors délai (DLDO 19/01/2026, déclaration le 02/02/2026). Pièces : note MJA 11/03/2026, requête Me Guiseppe GUIDARA 03/03/2026, ordonnance référé 2022, bail commercial 2011, diagnostics immobiliers, caution BNP, relevés CITYA 2014-2025, courrier MJA 19/01/2026 + 05/02/2026, BODACC, courrier greffe 10/03/2026. Procédure LJ simplifiée (pas de plan de cession) — aucune extraction d'offre possible."
"42 - SARL associé unique DIXIE FROG","42","DIXIE FROG","SARL associé unique","37800","337672414","366 ter rue de Vaugirard, 75015 Paris","Dixie Frog","Édition musicale et production phonographique (label indépendant)","Redressement judiciaire","2025-11-05","Tribunal de Commerce de Paris","Maître Nicolas Loyer","SELARL AJ Meynet & Associés","5 rue Saint-Germain-l'Auxerrois, 75001 Paris","","","","","","1","","Musique / édition phonographique","Gérant : André Brodzki. Co-éditrice historique avec Music Box Publishing (majorité des contrats artistes en coédition). Activité reposant sur contrats de licence et coédition. PDF certifié conforme le 01/04/2026, déposé GTAE Paris 02/04/2026."
"45 - SAS associé unique COLLEGE DE PARIS","45","COLLEGE DE PARIS","SAS associé unique","2106790","815229901 RCS Paris","15 rue Montmartre 75001 Paris","Collège de Paris / Groupe CDP","Gestion d'établissements d'enseignement supérieur et de formation professionnelle continue, prises de participations","Redressement judiciaire (converti de sauvegarde)","2026-03-16","Tribunal des Activités Économiques de Paris","Me Sandra BELADJINE / Me Aurélia PERDEREAU","SELARL BCM / SELARL THEVENOT PARTNERS","9 rue de Grenelle 75007 Paris / 42 rue de Lisbonne 75008 Paris","Me Stéphane GORRIAS / Me Pierre-Adrien GUIGON","SCP BTSG / SELARL GUIGON ASSOCIES","Pascal CAGNA","2026-04-10","1390","28","49 filiales et participations: Ascencia Business School, Ascencia Marne La Vallée, Ascencia Saint Quentin en Yvelines, Ascencia Evry, BUXOGILUM (TILD 51%, SILECS 49%, TRAC EDUCATION, FINANCIA BUSINESS SCHOOL), E2SE SAS, ECEMA (et ECEMA Limoges 85%), KEYCE ACADEMY (UFG 70%, ACTION SPORT SCHOOL 50%), ELFE, COMUNDI, NORTH PLACE, EUCLEA, COLLEGE DE PARIS GRAND EST, E2SE Groupe 51,43%, ECOR/ECAR 51%, Institut Supérieur de l'Evénement 57,8%, DIGITAL COLLEGE 51% (Ecole Conte, Exchange College, Digital College Guadeloupe, L&D, Business Project College, Digital College Marseille, Digital College Nice), COLLEGE DE PARIS INTERNATIONAL 67% (CAD SCRL Bruxelles, Hamilcar University Tunis, ECEMA Tunis, Ascencia Tunis, Ascencia Valencia Espagne, EFSI Séville), UPSILON (Guinée, Cameroun, Congo, Togo, Gabon, Tunisie), Ascencia International 50%, VIA FORMATION 54,5% (Trajectio Formation, LCMG Consulting, Cours Saint-Paul), LYBRAGYLE 90%, KALEE <1%, ECEMA Valence 50%, NEXT STEP 50% (Man'Agir, Adeos Formation, Admetis, Adterra), Ascencia Malta 50%, ESCCOM 51% (FLC Formation), Institut de l'Evénement 53,25%, Digital Collège, NEXUS Montpellier; Associations: Association ECEMA, Association pour le CDP, Association E2SE, IFOCOP, IRFA FORMATION, IRFA EVOLUTION, IRFA ENTREPRISES, ACMCFP-EPA, CAD CAD ASBL","Enseignement supérieur privé / Formation professionnelle","Holding animatrice 32 établissements, 76 campus, 10000+ étudiants, 45 certifications RNCP. Société à mission depuis 2020. Actionnaire unique: Bariacum (RCS Paris 527517346, Vincent ROUAIX Prés.) financée par emprunt obligataire 95M€ Barings. Difficultés: baisse 21% apprenants 2024-2026, NPEC, dysfonctionnements OPCO, problèmes immobiliers NEXUS Montpellier. Sauvegarde 15/12/2025 puis conversion RJ 16/03/2026. Apport trésorerie Barings 4,5M€ (ordonnance 16/12/2025 réf. P202504967) sous privilège L.622-17. Période observation 6 mois. EBITDA 2025 négatif. Plusieurs filiales en RJ propre (ESCCOM Nice 12/02/2026, Digital Collège, IRFA FORMATION Lille 02/03/2026, etc.)."
"47 - SC FS ET CIE","FS_CIE","SC FS ET CIE","SC","","","","","Société SC - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","12","","Immobilier","SC FS ET CIE fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : n.c.€ ; MUVICO améliorée : n.c.€. DLDO 02/03/2026 (DDO offres améliorées). 12 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"48 - SCI MILORD","MILORD","SCI MILORD","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","5","","Immobilier","SCI MILORD fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 900000€ ; MUVICO améliorée : 910000€. DLDO 02/03/2026 (DDO offres améliorées). 5 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"49 - SCI SAINT SULPICE","SAINT_SULPICE","SCI SAINT SULPICE","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","5","","Immobilier","SCI SAINT SULPICE fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 400000€ ; MUVICO améliorée : 300000€. DLDO 02/03/2026 (DDO offres améliorées). 5 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"50 - SAS associé unique EURODIF","50","EURODIF SAS","SAS à associé unique","","408 772 101 RCS Paris","8 rue du Sentier 75002 Paris","Bouchara","Commerce de détail d'habillement et de textiles","Redressement judiciaire","2026-01-30","Tribunal des activités économiques de Paris","Maître Catherine POLI / Maître Eric BAULAND","SELARL AJRS / SELARL BCM","AJRS: 8 rue Blanche 75009 Paris ; BCM: 9 rue de Grenelle 75007 Paris","Maître Julia RUTH / Maître Stéphane GORRIAS","SELARL ASTEREN / SCP BTSG²","","","","13","","Distribution textile / linge de maison / décoration","Enseigne Bouchara, marque historique linge de maison. Procédure publiée au Bodacc A n°20260032 du 17/02/2026 annonce n°5382. 13 offres distinctes reçues (offre10 = doublon exact de offre9, même Docusign Envelope ID 55BB1506-A773-45DA-AD79-0894CB67C9F7). Offres globales (plan de cession total) et offres partielles (droits au bail isolés, marque seule). Soltani GHF est mentionné en filiale via licence marque BOUCHARA Collection (IDGIFT SAS licencié exclusif depuis 16/05/2012)."
"51 - SARL BOULANGERIE BO","51","SARL BOULANGERIE BO","SARL","","800298697","85 bis rue de Charenton, 75012 Paris","BOULANGERIE BO","Boulangerie, pâtisserie","Redressement judiciaire","2026-02-05","Tribunal des Activités Économiques de Paris","Maître Nicolas GRICOURT","SELAS P2G","7 Boulevard du Montparnasse, 75006 Paris","Maître Stéphane GORRIAS","SCP BTSG","","","8","4","","Boulangerie / Pâtisserie","Gérant : Olivier HAUSTRAETE. Adresse exploitation : 85 bis rue de Charenton et 2 rue Emilio Castelar 75012 Paris. Deux baux commerciaux (bailleurs : M. et Mme BAZIN pour le local laboratoire / SCI DELORT pour le local boulangerie, loyer 25389€ HT). Crédit en cours auprès de la Société Générale (montant initial 465000€). Inventaire commissaire-priseur 2026043 dressé le 26/02/2026 par SELARL WEDRYCHOWSKI-MAGNIN. N° de greffe P202600555. Effectif détaillé : 3 Boulangers, 1 Pâtissier, 4 Vendeurs."
"52 - SAS PPA","52","PPA","SAS","2200000","491115499","ZI Mozinor, 2 avenue Président Salvador Allende, 93100 Montreuil","PPA","Impression haut de gamme offset LED/HUV, prépresse, façonnage, contrôle qualité — clientèle luxe / mode / joaillerie / parfumerie / communication institutionnelle (catalogues, livres d'art, supports premium)","Redressement judiciaire","2026-02-06","Tribunal des Activités Économiques de Paris","Maître Paul-Henri Audras","SELAS AJUP","","Maître Marc-Antoine Rey","Selarl Bdr & Associés","","2026-03-30","19","1","","Impression / arts graphiques","40 ans de savoir-faire impression haut de gamme. Pionnière HUV/LED en France. Clientèle : Chanel, MHCS, Bréguet, Opéra national de Paris, Comédie-Française, Théâtre de la ville, Festival d'Aix, Musée Pompidou, Picasso, Louvre, Mémorial Shoah, Musée Pompidou, Musée d'Art et d'Histoire du Judaïsme, Dalkia, Veolia, FDJ. Date limite dépôt offres : 30/03/2026 12h00. Tampon greffe : 07/04/2026. PPA détient une presse offset Komori G40 Advance (financée BNP Paribas)."
"53 - SARL DAVY","53","SARL DAVY","SARL","","421674185","30 rue de la Grande Truanderie, 75001 Paris","Le Café des Halles","Café / bar / brasserie / restaurant — acquisition, création, prise ou location de café, bar, brasserie, restaurant, organisation de soirées artistiques et de spectacles","Redressement judiciaire","2026-02-17","Tribunal des activités économiques de Paris","Me Charles-Henri Carboni","SELARL DETROIT","35-37 avenue de Sainte-Foy, 92200 Neuilly-sur-Seine","Me Véronique Manié","SELARL ARGOS","","","","1","","CHR Paris","Bail commercial signé le 16/05/2012 avec SCI HA-RGT30 (RCS Paris 424190064, gérant Nejib Allal) au profit de la société LBAC. Inventaire des actifs réalisé le 12/03/2026 par Me Nicolas FIERFORT, Commissaire de Justice à Paris."
"54 - SAS MAISON SOLAIRE VOLTALIA","54","MAISON SOLAIRE VOLTALIA","SAS","5000","509962841","84 Boulevard de Sebastopol, 75003 PARIS","MAISON SOLAIRE VOLTALIA","Energies renouvelables, electricite de batiment, negoce, pose de systeme de production d'energie electrique, energie renouvelable, electricite generale, conception, amenagement, maitrise d'ouvrage et d'oeuvre, contractant general, financement, exploitation de projets, vente d'electricite reseau national","Redressement judiciaire","2026-02-19","Tribunal des Activites Economiques de Paris","Maitre Lou Flechard","SCP CBF ASSOCIES","41 rue de Liege, 75008 Paris","Maitre Jean-Charles Demortier","SELAFA MJA","41 rue de l'Echiquier, 75010 Paris","Nicolas Jufforgues","2026-04-08","48","1","","Energies renouvelables / photovoltaique / electricite batiment"
"55 - SAS MYWINDPARTS","55","MYWINDPARTS","SAS","50000","824564231","84 boulevard Sébastopol, 75003 Paris","","Négoce et reconstruction de composants d'éoliennes (main components, pièces détachées, maintenance)","Redressement judiciaire","2026-02-25","Tribunal des Activités Économiques de Paris","Me Lou FLECHARD","SCP CBF ASSOCIES","41 rue de Liège, 75008 Paris","Me Jean-Charles DEMORTIER","SELAFA MJA","41 rue de l'Echiquier, 75010 Paris","","","8","1","","Éolien / composants industriels"
"56 - SAS YOGOSHA","56","SAS YOGOSHA","SAS","26434","815035563","37 rue des Mathurins, 75008 Paris","Yogosha","Plateforme de sécurité offensive (Pentesting as a Service, Bug Bounty, Vulnerability Operation Center)","Redressement judiciaire","2026-02-27","Tribunal des Activités Économiques de Paris","Me Maxime Lebreton","SELARL AJASSOCIES","90 boulevard Flandrin, 75116 Paris","Me Frédérique Lévy","SELAFA MJA","","2026-04-01","","2","","Cybersécurité / Pentesting / Bug Bounty","Date limite dépôt offres (DLDO) = 01/04/2026 (tampon GTAE Paris Procédures collectives). 2 offres déposées : Keyrus (LOI 25/03/2026) et Créative Invest 2025 (offre formelle 25/03/2026 dépôt avant 11h)."
"57 - SCA SOCIETE CIVILE AGRICOLE DE LA PLESSE","57","SCA DE LA PLESSE","Société civile agricole","986100","379609514","La Plesse, 49000 Écouflant","","Production agricole de pommes","Redressement judiciaire","2026-03-16","Tribunal des activités économiques de Paris","Maître Marine PACE / Maître Paul-Henri AUDRAS","SELARL 2M&Associés / SELAS AJ UP","","Maître Valérie LELOUP-THOMAS / Maître Charlotte THIRION","SELAFA MJA / SELARL ATHENA","","2026-03-18","1","3","","Production fruitière (pommes) - filière fruits","Filiale du groupe INNATIS (RCS 338575962 Paris) placé en sauvegarde le 29/09/2025 par TAE Paris. RJ ouvert le 16/03/2026 pour SCA DE LA PLESSE, SCEA DE LA REINETTE D'ANJOU et autres Vergers (LAUNAY, DENIOLAY, BEAUVALLON, VAULEARD, LA CHAUSSEE). Appel d'offres collectif sur Pôle Val de Loire INNATIS (11 sociétés). SCA DE LA PLESSE = production pommes en Anjou, 1 chef de culture salarié. Branche Angevine (210 ha) + Touraine (90 ha). Audience d'examen offres 13/04/2026 9h15. Conseil débiteur : Cabinet FIDAL (Antoine BISDORFF) pour offre LEROY/VCAPITAL/CASTEL INVEST ; SELARL LEXCAP pour offre CELHER. Difficultés : baisse production HoneyCrunch (60% surfaces) 2023-2025, station Verrières-en-Anjou (30M€) sous-utilisée, échec restructuration dette 2024. 3 offres reçues (dont 1 amélioration et 2 doublons fichiers) : 2 candidats distincts."
